,title,release_date,original_language,popularity,overview,vote_average,vote_count
2673,Groundhog Day,1993-02-11,en,28.769,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",7.609,7312
2674,A Cinderella Story,2004-07-16,en,34.42,"Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",6.531,3019
2675,Monopoly: Who Owns the World?,2021-10-01,en,19.022,"Monopoly – Who Owns The World is an independent documentary produced by Tim Geilen. The film shows the institutional investment firms that sit at the top of the complex and opaque corporate pyramid structure. Monopoly shines a much-needed light on these corporations, the people behind them, and their rapacious behavior.",9.0,1
2676,The Key Game,2022-04-13,es,20.841,"Laura has been with Antonio all her life and, just when she begins to wonder if that is really the life she wants, Sergio and Siena cross paths in their lives. Sergio is a former high school classmate and Siena, his millennial girlfriend who arrives to revolutionize everyone's lives. Laura, Raquel and Cris, close friends for years, convince their respective husbands to play a game that Siena proposes to them: the game of keys. The game consists of everyone putting their keys in a bowl. At random, each one chooses some keys and he must go to spend the night with the owner of the keys. This game will revolutionize the group of friends and their lives. It will make them discover who they are and what they really want.",5.934,53
2677,How to Be a Latin Lover,2017-03-06,en,24.222,An aging Latin lover gets dumped by his sugar mama and must fend for himself in a harsh world.,6.937,576
2678,Step Up 2: The Streets,2008-02-14,en,23.716,"When rebellious street dancer Andie lands at the elite Maryland School of the Arts, she finds herself fighting to fit in while also trying to hold onto her old life. When she joins forces with the schools hottest dancer, Chase, to form a crew of classmate outcasts to compete in Baltimore s underground dance battle The Streets.",6.686,2166
2679,Justice League Dark: Apokolips War,2020-05-05,en,20.475,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",8.26,1362
2680,Mars Attacks!,1996-12-13,en,30.173,"A fleet of Martian spacecraft surrounds the world's major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, ""come in peace."" U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians' mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation.",6.396,5031
2681,Conan the Barbarian,1982-04-02,en,30.165,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",6.8,2259
2682,The Last of the Mohicans,1992-08-26,en,30.144,"In war-torn colonial America, in the midst of a bloody battle between British, the French and Native American allies, the aristocratic daughter of a British Colonel and her party are captured by a group of Huron warriors. Fortunately, a group of three Mohican trappers comes to their rescue.",7.393,2786
2683,Enemy,2013-12-31,en,30.134,A mild-mannered college professor discovers a look-alike actor and delves into the other man's private affairs.,6.873,5414
2684,Moby Dick,1956-06-27,en,30.125,"In 1841, young Ishmael signs up for service abroad the Pequod, a whaler sailing out of New Bedford. The ship is under the command of Captain Ahab, a strict disciplinarian who exhorts his men to find Moby Dick, the great white whale. Ahab lost his his leg to that creature and is desperate for revenge. As the crew soon learns, he will stop at nothing to gain satisfaction.",7.0,353
2685,Barbie: Fairytopia - Mermaidia,2006-03-14,en,30.122,"In this animated follow-up to Fairytopia, Elina enlists the help of a mermaid, Nori, to save her friend Nalu, a merman prince who has been captured by the wicked Laverna.",6.853,645
2686,Mamma Mia!,2008-07-03,en,30.108,"An independent, single mother who owns a small hotel on a Greek island is about to marry off the spirited young daughter she's raised alone. But, the daughter has secretly invited three of her mother's ex-lovers in the hopes of finding her biological father.",6.969,6055
2687,It Boy,2013-03-06,fr,30.092,"38-year-old Alice has everything to become the next editor-in-chief of Rebelle magazine except for her uptight image. But when the young and charming Balthazar, barely 20, crosses Alice's path, she realizes that he holds the key to her promotion.",6.344,1243
2688,Holes,2003-04-18,en,30.09,A wrongfully convicted boy is sent to a brutal desert detention camp where he must dig holes in order to build character. What he doesn't know is that he is digging holes in order to search for a lost treasure hidden somewhere in the camp.,6.833,1244
2689,24 Year Old Yoon Yul's Sexy Breasts,2021-03-01,ko,30.087,"Rookie actor Yunyul! Although she looks innocent, her secret private life is revealed in detail.  Sexy glamor rookie actor Yunyul’s breathtaking talk begins! Yunyul, who has a beautiful model body line and a bursting breast, but with a face that combines soft innocence and contradictory charm!  It boasts a voluptuous, powerful hardware since its debut early and came to the hottest Newcomer together many fans successfully her first interview with the film anchakhan the debut of receive the love of 2020  from an episode from the debut course she speaks to date Her anti-war charm, honestly revealing her usual dating course with the opposite sex she dreamed of! The honest interview of 24-year-old Yunyul begins.",7.533,15
2690,Aladdin and the King of Thieves,1996-05-20,en,30.079,"Legendary secrets are revealed as Aladdin and his friends—Jasmine, Abu, Carpet and, of course, the always entertaining Genie—face all sorts of terrifying threats and make some exciting last-minute escapes pursuing the King Of Thieves and his villainous crew.",6.259,1729
2691,Evangelion: 2.0 You Can (Not) Advance,2009-06-26,ja,30.076,"Under constant attack by monstrous creatures called Angels that seek to eradicate humankind, U.N. Special Agency NERV introduces two new EVA pilots to help defend the city of Tokyo-3: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Meanwhile, Gendo Ikari and SEELE proceed with a secret project that involves both Rei and Shinji.",7.8,765
2692,How Funny Can Sex Be?,1973-12-19,it,30.071,"How Funny Can Sex Be? is an nine-episode anthology film about love, sex and marriage in contemporary, mid-'70s Italy.",5.885,48
2693,Trainwreck,2015-07-17,en,30.07,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",5.792,2454
2694,Adultery Alumni Association,2018-03-02,ko,30.066,"Five college alumni gathered at a pension after a long time. We are happy to share our past memories, but do you really have a different purpose?! Yoon-jae visits Eugene, whom he had a crush on in college. A set meal enjoyed by two female classmates. The affair reunion is about to begin, with different ways of having fun...",6.889,9
2695,Clock,2023-03-28,en,30.047,"On the eve of her 38th birthday, a woman desperately attempts to fix her broken biological clock.",5.702,156
2696,Cowboys & Aliens,2011-07-29,en,30.04,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",5.591,4736
2697,Carrie,2002-11-04,en,30.04,"Carrie White is a lonely and painfully shy teenage girl with telekinetic powers who is slowly pushed to the edge of insanity by frequent bullying from both classmates at her school, and her own religious, but abusive, mother.",6.102,437
2698,Nightbooks,2021-09-15,en,30.038,"Alex, a boy obsessed with scary stories, is trapped by a witch in her modern, magical New York City apartment. His original hair-raising tales are the only thing keeping him safe as he desperately tries to find a way out of this twisted place.",6.175,335
2699,Barbie in A Christmas Carol,2008-11-03,en,30.033,"On Christmas Eve, Kelly is reluctant to go to a Christmas Eve ball, so Barbie tells her the story of Eden Starling, a glamorous singing diva in the Victorian England and the owner of a theatre house. However, Eden is self-centered and loves only herself. She is frequently accompanied by her snooty cat, Chuzzlewit. She does not believe in Christmas and orders all her employees to work on Christmas.",7.038,497
2700,Outcast,2014-09-26,en,30.03,"A mysterious warrior teams up with the daughter and son of a deposed Chinese Emperor to defeat their cruel brother, who seeks their deaths.",5.1,434
2701,Hunter x Hunter: The Last Mission,2013-12-27,ja,30.019,"Isaac Netero is the chairman of the Hunter Association. Decades ago he sealed away Jed, a Hunter who had mastered the use of On, the dark ""shadow"" of Nen. Now On users have reappeared at the Heaven's Arena ""Battle Olympia"" tournament. For Netero, this is the last mission: to protect the Association and the world from a threat driven by hatred and the thirst for revenge. And he's going to need all the help he can get in order to succeed.",6.938,152
2702,Day of the Woman,1978-11-02,en,30.013,"After a young writer is brutally gang-raped and left for dead by four men, she systematically hunts them down one by one to exact a terrible vengeance.",5.921,524
2703,Monster High: Why Do Ghouls Fall in Love?,2012-02-12,en,30.005,"Draculaura’s Sweet 1600th birthday is an extra special occasion to party at Monster High! But her high expectations lead to deadly results when she’s faced with the choice between practical boyfriend Clawd, and new vampire heartthrob, Valentine, a romantic blast from her past. Her ghoulfriends find it odd that Valentine created a holiday in her honor, but oddly named it after himself (how romantic?) and have to stop him before he steals her heart… literally. Draculaura must decide which boy is right for her before the party! Will she find out about Valentine’s sinister plan? Will her best ghoulfriends be able to help her in time? And most importantly… will Draculaura pass her driving test?",7.983,151
2704,The Adventures of Sharkboy and Lavagirl,2005-06-10,en,30.003,"Everyone always knew that Max had a wild imagination, but no one believed that his wildest creations -- a boy raised by watchful great white sharks and a girl with the force of a volcano -- were real. Now, these two pint-sized action masters will show Max that even an ordinary kid has what it takes to be extraordinary.",5.142,1378
2705,Savage Salvation,2022-12-02,en,29.996,"Newly engaged Shelby John and Ruby Red want a fresh start after their struggles with addiction, but when Shelby discovers his beloved Ruby dead on their porch, he embarks on a vengeful killing spree of the dealers who supplied her. Armed with nothing but adrenaline and a nail gun, Shelby begins to unleash chaos on the town’s criminal underbelly, as he hunt’s down crime lord Coyote. Sheriff Church must race against the clock to put an end to Shelby's vigilante justice before the entire town descends into a bloodbath.",6.526,208
2706,Bloodsport,1988-02-26,en,29.994,"U.S. soldier Frank Dux has come to Hong Kong to be accepted into the Kumite, a highly secret and extremely violent martial arts competition. While trying to gain access into the underground world of clandestine fighters, he also has to avoid military officers who consider him to be AWOL. After enduring a difficult training and beginning a romance with journalist Janice Kent, Frank is given the opportunity to fight. But can he survive?",7.017,1656
2707,Venus,2022-12-02,es,29.991,"Lucía, a club dancer on the run, takes refuge in a sinister building on the outskirts of Madrid where her sister Rocío lives with her daughter Alba.",6.215,158
2708,Hostiles,2017-12-22,en,29.987,A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana reservation.,6.918,2112
2709,Gayniggers from Outer Space,1992-01-01,en,29.979,"Extraterrestrial beings travel the galaxy to free men ""oppressed"" by females to make way for an entirely-homosexual society.",4.3,61
2710,There Will Be Blood,2007-12-26,en,29.962,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",8.085,6034
2711,Enter the Dragon,1973-08-17,en,29.961,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.,7.423,1706
2712,Clash of the Titans,1981-06-12,en,29.931,"To win the right to marry his love, the beautiful princess Andromeda, and fulfil his destiny, half-God-half-mortal Perseus must complete various tasks including taming Pegasus, capturing Medusa's head and battling the feared Kraken.",6.9,680
2713,Michael Jackson's Thriller,1983-11-14,en,29.929,A night at the movies turns into a nightmare when Michael and his date are attacked by a horde of bloody-thirsty zombies.,8.2,611
2714,Crash,1996-07-17,en,29.924,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",6.427,978
2715,Minority Report,2002-06-20,en,29.92,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",7.342,8083
2716,The Hunchback of Notre Dame II,2002-02-05,en,29.907,"Now that Frollo is gone, Quasimodo rings the bell with the help of his new friend and Esmeralda's and Phoebus' little son, Zephyr. But when Quasi stops by a traveling circus owned by evil magician Sarousch, he falls for Madellaine, Sarouch's assistant.",5.355,735
2717,Scooby-Doo 2: Monsters Unleashed,2004-03-24,en,29.906,"After solving their last mystery at Spooky Island, the Mystery Inc. gang is back in Coolsville, where they are being honored with their very own exhibit at the Coolsonian Criminology Museum. However, when a masked villain steals costumes of classic monsters on display and brings them to life, the gang must come out of retirement to solve the case.",6.0,2509
2718,Spiderhead,2022-06-17,en,29.904,A prisoner in a state-of-the-art penitentiary begins to question the purpose of the emotion-controlling drugs he's testing for a pharmaceutical genius.,5.817,1370
2719,One Shot,2021-11-05,en,29.903,"An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner.",6.778,809
2720,Saint Seiya Heaven Chapter: Overture,2004-02-14,ja,29.894,"After the bloody battle against Hades, the goddess Athena and her saints are still recovering when they find themselves face to face with their newest and most formidable foe: the dreadful moon goddess Artemis. Artemis replaces Athena as the earth guardian deity and takes over the Sanctuary, turning Athena's Saints into her servants.  Upon invading the Sanctuary, the Bronze Saints learn that Athena was banished by Artemis and decide to fight the moon goddess in order to rescue their true goddess and free the Earth from Artemis's ominous control.",7.566,235
2721,Salt,2010-07-21,en,29.888,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",6.403,5142
2722,Evan Almighty,2007-06-09,en,29.884,"Junior congressman Evan Baxter, whose wish is to ""change the world"" is heard by none other than God. When God appears with the perplexing request to build an ark, Evan is sure he is losing it.",5.557,3963
2723,A View to a Kill,1985-05-24,en,29.883,A newly-developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin who forms a plan to destroy his only competition in Silicon Valley by triggering a massive earthquake in the San Francisco Bay.,6.218,1796
2724,Megalodon,2018-08-10,en,29.873,"A military vessel on the search for an unidentified submersible finds themselves face to face with a giant shark, forced to use only what they have on board to defend themselves from the monstrous beast.",5.651,262
2725,Blood Curse II: Asmodeus Rises,2023-10-31,en,29.867,"Alicia Stone returns in this gore-drenched sequel. Having lost all hope, husband Jason calls on the help of Paranormal TV host Tyson to confront the demonic forces that have plagued the Stone household.",0.0,0
2726,The Adventures of Ichabod and Mr. Toad,1949-10-05,en,29.866,"The Wind in the Willows: Concise version of Kenneth Grahame's story of the same name. J. Thaddeus Toad, owner of Toad Hall, is prone to fads, such as the newfangled motor car. This desire for the very latest lands him in much trouble with the wrong crowd, and it is up to his friends, Mole, Rat and Badger to save him from himself. - The Legend of Sleepy Hollow: Retelling of Washington Irving's story set in a tiny New England town. Ichabod Crane, the new schoolmaster, falls for the town beauty, Katrina Van Tassel, and the town Bully Brom Bones decides that he is a little too successful and needs ""convincing"" that Katrina is not for him.",6.464,522
2727,The Collection,2012-09-21,en,29.862,"Arkin escapes with his life from the vicious grips of ""The Collector"" during an entrapment party where he adds beautiful Elena to his ""Collection."" Instead of recovering from the trauma, Arkin is suddenly abducted from the hospital by mercenaries hired by Elena's wealthy father. Arkin is blackmailed to team up with the mercenaries and track down The Collector's booby trapped warehouse and save Elena.",6.269,931
2728,Game of Death II,1981-03-21,cn,29.856,"In this dark tale of revenge, Bruce Lee ""returns"" as Billy Lo, whose best friend Chin Ku dies of a sudden illness. But suspicion of foul play arises when a gang tries to steal Ku's coffin at the funeral using a helicopter. When Lo's younger brother Lo hears about the incident, he leaves his Buddhist master to investigate the truth. His trail soon leads him to the Castle of Death, the last place Chin Ku was seen alive. There, he meets and befriends an unlikely ally--a cruel and merciless martial arts expert  who is also the tower's master. But when the master dies under mysterious circumstances, Lo ends up dueling with someone far more terrifying.",5.6,150
2729,Mine,2016-10-06,en,29.854,"After a failed assassination attempt, a soldier finds himself stranded in the desert. Exposed to the elements, he must survive the dangers of the desert and battle the psychological and physical toll of the treacherous conditions.",6.571,1204
2730,Toy Story That Time Forgot,2014-12-02,en,29.852,"During a post-Christmas play date, the gang find themselves in uncharted territory when the coolest set of action figures ever turn out to be dangerously delusional. It's all up to Trixie, the triceratops, if the gang hopes to return to Bonnie's room in this Toy Story That Time Forgot.",7.019,909
2731,Watcher,2022-06-03,en,29.845,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street.",6.51,668
2732,"The Simpsons: The Good, the Bart, and the Loki",2021-07-07,en,29.844,Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfield’s mightiest heroes. The God of Mischief teams up with Bart Simpson in the ultimate crossover event paying tribute to the Marvel Cinematic Universe of superheroes and villains.,7.332,627
2733,Game Night,2018-02-15,en,29.843,"Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party -- complete with fake thugs and federal agents. So when Brooks gets kidnapped, it's all supposed to be part of the game. As the competitors set out to solve the case, they start to learn that neither the game nor Brooks are what they seem to be. The friends soon find themselves in over their heads as each twist leads to another unexpected turn over the course of one chaotic night.",6.85,5398
2734,Underwater,2020-01-08,en,29.843,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",6.297,2836
2735,Death Race 2,2010-11-12,en,29.836,"In the world's most dangerous prison, a new game is born: Death Race. The rules of this adrenaline-fueled blood sport are simple, drive or die. When repentant convict Carl Lucas discovers there's a price on his head, his only hope is to survive a twisted race against an army of hardened criminals and tricked-out cars.",5.8,1016
2736,The 40 Year Old Virgin,2005-08-11,en,29.821,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",6.376,6244
2737,Romeo and Juliet,1968-04-02,en,29.816,"Romeo Montague and Juliet Capulet fall in love against the wishes of their feuding families. Driven by their passion, the young lovers defy their destiny and elope, only to suffer the ultimate tragedy.",7.4,603
2738,"O Brother, Where Art Thou?",2000-08-30,en,29.813,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",7.325,3817
2739,The Man from Toronto,2022-12-23,en,29.804,"In a case of mistaken identity, the world’s deadliest assassin, known as the Man from Toronto, and a New York City screw-up are forced to team up after being confused for each other at a rental cabin.",6.491,227
2740,Yu-Gi-Oh!: The Dark Side of Dimensions,2016-04-23,ja,29.804,Yugi and Kaiba have a special duel that transcends dimensions.,7.608,402
2741,Son of the Mask,2005-02-18,en,29.803,"Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.",4.118,1684
2742,West Sex Journey 2,1998-06-16,zh,29.793,"The Tang monk said: It is difficult to be a monk, and it is difficult to be a monk with a face better than a talent; It is difficult to be a non-mainstream monk with good looks and talents. Sun Wukong said: Junior Brother Sha, that old guy is starting to lose his face again. ZBJ said: It's easy to be a pig, but it's not easy to be a pig that I do. The sand monk said: Don't look at my rough appearance, in fact, my inner thief is gentle and dripping. The little white dragon said: Don't talk to me, you've seen a few handsome guys who will open their mouths at will.",5.0,3
2743,Dredd,2012-09-07,en,29.793,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",6.822,4697
2744,Space Sweepers,2021-02-05,ko,29.787,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",7.1,924
2745,Sister Act 2: Back in the Habit,1993-12-09,en,29.785,"Deloris Van Cartier is again asked to don the nun's habit to help a run-down Catholic school, presided over by Mother Superior. And if trying to reach out to a class full of uninterested students wasn't bad enough, the sisters discover that the school is due to be closed by the unscrupulous chief of a local authority.",6.378,1662
2746,What the Peeper Saw,1972-10-14,it,29.779,"A wealthy author's second wife begins to suspect that her 12-year old stepson may have murdered his mother, who mysteriously died in a bathtub accident.",5.8,36
2747,Lost Bullet 2,2022-11-10,fr,29.768,"Having cleared his name, genius mechanic Lino has only one goal in mind: getting revenge on the corrupt cops who killed his brother and his mentor.",6.55,320
2748,The Return of the Texas Chainsaw Massacre,1995-09-22,en,29.761,"Everyone's favorite chainsaw-wielding psychopath, Leatherface, is back for more prom-night gore, and this time he's joined by his bloodthirsty family. Four stranded yet carefree teens are taken in by a backwoods family, clueless of their host family's grisly habits. The terrified youths, including sweet Jenny, try to escape from Leatherface and his crazed clan, including the bionic Vilmer.",4.599,592
2749,The Lover,1992-01-22,fr,29.757,"A poor French teenage girl engages in an illicit affair with a wealthy Chinese heir in 1920s Saigon. For the first time in her young life she has control, and she wields it deftly over her besotted lover throughout a series of clandestine meetings and torrid encounters.",7.008,603
2750,Black Crab,2022-03-18,sv,29.743,"To end an apocalyptic war and save her daughter, a reluctant soldier embarks on a desperate mission to cross a frozen sea carrying a top-secret cargo.",6.251,704
2751,Barbie and the Three Musketeers,2009-09-15,en,29.734,"Corinne (Barbie) is a young country girl who heads to Paris to pursue her big dream – to become a female musketeer! Never could she imagine she would meet three other girls who secretly share the same dream! Using their special talents, the girls work together as a team to foil a plot and save the prince. It's all for one and one for all!",7.253,620
2752,Nuovo Olimpo,2023-11-01,it,29.733,"Late 1970s. Two 25-year-old men meet by chance and fall madly in love. An unexpected event, however, separates them. For thirty years they still pursue the hope of finding each other again, because they still love each other.",6.8,4
2753,A View of the World from Fifth Avenue,2023-11-01,en,29.728,A young woman risks being ostracized from an insular New York clique led by her socialite best friend when she falls for a charming photographer.,0.0,0
2754,El Dorado,1966-12-17,en,29.724,"Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Harrah. Together with a fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.",7.367,470
2755,A Nightmare on Elm Street: The Dream Child,1989-08-11,en,29.718,"Alice, having survived the previous installment of the Nightmare series, finds the deadly dreams of Freddy Krueger starting once again. This time, the taunting murderer is striking through the sleeping mind of Alice's unborn child. His intention is to be ""born again"" into the real world. The only one who can stop Freddy is his dead mother, but can Alice free her spirit in time to save her own son?",5.393,1118
2756,12 Years a Slave,2013-10-18,en,29.709,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",7.945,10660
2757,Office Invasion,2022-08-10,en,29.708,Three friends come together to defend their valuable mining company from…aliens?! What could possibly go wrong?,5.653,101
2758,Mad Max Beyond Thunderdome,1985-06-29,en,29.706,"Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children.",6.199,2561
2759,[REC]: Horror Without Pause,2022-10-28,es,29.705,"The horror film [REC] — directed by Jaume Balagueró and Paco Plaza, and released in 2007 — was an unprecedented triumph for Spanish fantasy cinema. Fifteen years later, those responsible for the creation and worldwide success of this cinematic milestone decode its keys and resurrect the myth.",7.1,15
2760,Austin Powers in Goldmember,2002-07-26,en,29.234,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe—'70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",5.999,2868
2761,They Cloned Tyrone,2023-06-14,en,37.771,A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy lurking directly beneath their neighborhood.,6.703,379
2762,The Karate Kid Part II,1986-06-18,en,28.131,"After discovering that his father is at death's door, Mr. Miyagi sets out to Japan, to see him with Daniel. Upon arriving, Miyagi must confront an old rival. Meanwhile, Daniel encounters a new love, and some new enemies.",6.263,1986
2763,One Shot,2021-11-05,en,29.903,"An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner.",6.778,809
2764,Thinking XXX,2004-10-27,en,26.287,"For a book project, photographer Timothy Greenfield-Sanders took photographs of 30 stars of adult movies, each pair of photographs in the same pose, clothed and nude. This film records the photo shoots and includes interviews with the performers and commentary from eight writers (and John Waters). The actors and writers discuss economics, nudity and exhibitionism, careers, and private lives.",5.469,97
2765,The Intern,2015-09-23,en,39.031,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",7.205,6244
2766,Spy,2015-05-06,en,27.63,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",6.828,5692
2767,Thelma & Louise,1991-05-24,en,25.323,"Whilst on a short weekend getaway, Louise shoots a man who had tried to rape Thelma. Due to the incriminating circumstances, they make a run for it and thus a cross country chase ensues for the two fugitives. Along the way, both women rediscover the strength of their friendship and surprising aspects of their personalities and self-strengths in the trying times.",7.574,3069
2768,Ehrengard: The Art of Seduction,2023-09-14,da,24.679,"When a self-appointed expert on love tries to teach a timid prince the art of seduction, the plan backfires, leading to scandal — and unexpected romance.",6.391,55
2769,A Nightmare on Elm Street 4: The Dream Master,1988-08-19,en,30.519,"Dream demon Freddy Krueger is resurrected from his apparent demise, and rapidly tracks down and kills the remainder of the Elm Street kids. However, Kristen, who can draw others into her dreams, wills her special ability to her friend Alice. Alice soon realizes that Freddy is taking advantage of that unknown power to pull a new group of children into his foul domain.",5.836,1257
2770,Lethal Weapon 2,1989-07-07,en,27.069,"In the opening chase, Martin Riggs and Roger Murtaugh stumble across a trunk full of Krugerrands. They follow the trail to a South African diplomat who's using his immunity to conceal a smuggling operation. When he plants a bomb under Murtaugh's toilet, the action explodes!",7.004,3110
2771,Constantine: The House of Mystery,2022-05-02,en,27.401,"John Constantine wakes up in the eerie House of Mystery with no recollection of how he got there. Fortunately, Zatanna and his friends are all there. Unfortunately, they have a bad habit of turning into demons and ripping him to shreds, over and over again!",6.91,134
2772,Ghost Ship,2002-10-25,en,37.067,"After discovering a passenger ship missing since 1962 floating adrift on the Bering Sea, salvagers claim the vessel as their own. Once they begin towing the ghost ship towards harbor, a series of bizarre occurrences happen and the group becomes trapped inside the ship, which they soon learn is inhabited by a demonic creature.",5.929,2191
2773,Piranha 3DD,2012-05-11,en,26.318,"After the events at Lake Victoria, the prehistoric school of blood-thirsty piranhas make their way into swimming pools, plumbing, and a newly opened water park.",4.329,951
2774,Hunger,2023-04-04,th,27.206,"Aoy is in her twenties when she inherits her family's rat na and pad see ew restaurant in Bangkok's old quarter. Then she's plucked up by team 'Hunger', the country's leading luxury Chef's table team. In her new environment, Aoy gets to know the dark side of genius Chef Paul and the high-end food industry.",7.354,297
2775,Invasion of the Body Snatchers,1978-12-20,en,28.564,"Matthew Bennell notices that several of his friends are complaining that their close relatives are in some way different. When questioned later they themselves seem changed, as they deny everything or make lame excuses. As the invaders increase in number they become more open and Bennell, who has by now witnessed an attempted 'replacement', realises that he and his friends must escape or suffer the same fate.",7.199,946
2776,Day of the Woman,1978-11-02,en,30.013,"After a young writer is brutally gang-raped and left for dead by four men, she systematically hunts them down one by one to exact a terrible vengeance.",5.921,524
